date,dateFa,yearFa,monthFa,dwnldTB,upldTB,sumTB,fileLink
2021-03-24,1400-01-04,1400,01,359.4,35.2,394.6,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-03-24.csv
2021-03-18,1399-12-28,1399,12,371.2,38.2,409.4,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-03-18.csv
2021-03-17,1399-12-27,1399,12,720,76.9,796.9,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-03-17.csv
2021-03-10,1399-12-20,1399,12,417.3,45.5,462.8,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-03-10.csv
2021-03-16,1399-12-26,1399,12,385.1,41.1,426.2,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-03-16.csv
2021-03-21,1400-01-01,1400,01,626.2,66.5,692.7,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-03-21.csv
2021-03-23,1400-01-03,1400,01,617.2,61.2,678.4,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-03-23.csv
2021-04-11,1400-01-22,1400,01,421.8,47.4,469.2,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-04-11.csv
2021-04-03,1400-01-14,1400,01,436.4,46.9,483.3,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-04-03.csv
2021-04-01,1400-01-12,1400,01,345.9,34.3,380.2,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-04-01.csv
2021-04-02,1400-01-13,1400,01,574.6,57.9,632.5,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-04-02.csv
2021-03-25,1400-01-05,1400,01,653.3,64.2,717.5,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-03-25.csv
2021-03-28,1400-01-08,1400,01,392.2,39.7,431.9,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-03-28.csv
2021-04-07,1400-01-18,1400,01,430.3,46.5,476.8,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-04-07.csv
2021-04-04,1400-01-15,1400,01,810.8,87.6,898.4,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-04-04.csv
